index,region,sample_id,date,site,site_number,name,site_id,region_gc,lat,lon,temp,depth,dilution,locus_shorthand,sequencing_lane,replicate,filename_base,rename_to
1,GC,GC-001,10/29/2016,S1,1,El Portugues,POR,Centro,24.74921,110.67361,27.8,5.5,d1,12S,L001,1,,12S-GC-001-d1_1_S1_L001
2,GC,GC-002,10/29/2016,S2,2,Bajo Seco Sur (South San Francisquito Island),BSS,Centro,24.80856,110.52517,26.7,20.7,d1,12S,L001,1,,12S-GC-002-d1_1_S2_L001
3,GC,GC-003,10/30/2016,S3,3,Isla Las Animas,ANI,Centro,25.11358,110.50777,27.8,10.1,d1,12S,L001,1,,12S-GC-003-d1_1_S3_L001
4,GC,GC-004,10/30/2016,S4,4,Isla San Dieguito (North),DIE,Centro,25.20403,110.6949,28.3,4.6,d1,12S,L001,1,,12S-GC-004-d1_1_S4_L001
5,GC,GC-005,10/30/2016,S5,5,Isla Santa Cruz,SCR,Centro,25.31262,110.68939,27.8,10.7,d1,12S,L001,1,,12S-GC-005-d1_1_S5_L001
6,GC,GC-006,10/31/2016,S6,6,San Mateo (North),SMA,Centro,25.37902,110.99271,28.3,7.9,d1,12S,L001,1,,12S-GC-006-d1_1_S6_L001
7,GC,GC-007,10/31/2016,S7,7,Bajo Seco Norte (South Catalana Island),BSN,Centro,25.61154,110.77045,25,32,d1,12S,L001,1,,12S-GC-007-d1_1_S7_L001
8,GC,GC-008,10/31/2016,S8,8,Isla Catalana (North),CAT,Centro,25.71534,110.7756,27.8,11.9,d1,12S,L001,1,,12S-GC-008-d1_1_S8_L001
9,GC,GC-009,11/01/16,S9,9,Isla Monserrat (Las Galeras),MON,Centro,25.74411,111.04932,28.3,7.3,d1,12S,L001,1,,12S-GC-009-d1_1_S9_L001
10,GC,GC-010,11/01/16,S10,10,Isla Danzante,DAN,Centro,25.81281,111.25526,27.2,12.8,d1,12S,L001,1,,12S-GC-010-d1_1_S10_L001
11,GC,GC-011,11/02/16,S11,11,Isla Carmen (Balandra),CAR,Centro,26.01657,111.16914,25.6,6.4,d1,12S,L001,1,,12S-GC-011-d1_1_S11_L001
12,GC,GC-012,11/02/16,S12,12,Isla Coronado (La Lobera),COR,Centro,26.1744,111.26173,27.2,8.5,d1,12S,L001,1,,12S-GC-012-d1_1_S12_L001
13,GC,GC-014,11/03/16,S14,14,Punta Pulpito,PUL,Centro,26.51492,111.44327,26.7,4.3,d1,12S,L001,1,,12S-GC-014-d1_1_S14_L001
14,GC,GC-015,11/03/16,S15,15,San Ildelfonso,ILD,Centro,26.62452,111.42674,27.2,8.5,d1,12S,L001,1,,12S-GC-015-d1_1_S15_L001
15,GC,GC-016,11/04/16,S16,16,Isla San Marcos (North),SMA,Centro,27.26016,112.08899,25,7.6,d1,12S,L001,1,,12S-GC-016-d1_1_S16_L001
16,GC,GC-017,11/04/16,S17,17,Isla Tortuga,TOR,Centro,27.43053,111.06171,26.1,16.8,d1,12S,L001,1,,12S-GC-017-d1_1_S17_L001
17,GC,GC-018,11/06/16,S18,18,Isla San Pedro Nolasco (Punta Chivato),NOL,Centro,27.96585,111.37097,23.9,20.1,d1,12S,L001,1,,12S-GC-018-d1_1_S18_L001
18,GC,GC-019,11/07/16,S19,19,Isla San Pedro Martir (Punta Rabijunco),PMA,Norte,28.38201,112.29588,21.1,13.1,d1,12S,L001,1,,12S-GC-019-d1_1_S19_L001
19,GC,GC-020,11/08/16,S20,20,San Francisquito -Punta Baja (coast),SFR,Norte,28.44126,112.26764,23.3,10.1,d1,12S,L001,1,,12S-GC-020-d1_1_S20_L001
20,GC,GC-021,11/08/16,S21,21,Isla San Lorenzo (South),LOR,Norte,28.58472,112.75922,23.3,,d1,12S,L001,1,,12S-GC-021-d1_1_S21_L001
21,GC,GC-031,11/13/2016,S31,31,"Isla San Esteban, El Canon",EST,Norte,28.72152,112.61259,17.8,,d1,12S,L001,1,,12S-GC-031-d1_1_S31_L001
22,GC,GC-029,11/12/16,S29,29,La Reina (Isla Tiburon),TIB,Norte,29.06492,112.50581,17.8,,d1,12S,L001,1,,12S-GC-029-d1_1_S29_L001
23,GC,GC-027,11/12/16,S27,27,Isla Patos,PAT,Norte,29.26635,112.46409,19.4,8.5,d1,12S,L001,1,,12S-GC-027-d1_1_S27_L001
24,GC,GC-023,11/09/16,S23,23,Isla Angel de la Guarda (Puerto Refugio III),IA2,Norte,29.55194,113.51441,24.4,14.6,d1,12S,L001,1,,12S-GC-023-d1_1_S23_L001
25,GC,GC-022,11/09/16,S22,22,Isla Angel de la Guarda (Puerto Refugio II),IA1,Norte,29.55492,113.55855,23.9,10.7,d1,12S,L001,1,,12S-GC-022-d1_1_S22_L001
26,GC,GC-024,11/10/16,S24,24,Bahia San Luis Gonzaga,SLG,Norte,29.80552,114.37281,23.9,8.2,d1,12S,L001,1,,12S-GC-024-d1_1_S24_L001
27,GC,GC-025,11/11/16,S25,25,Puerto Lobos,LOB,Norte,30.22188,112.96634,22.2,,d1,12S,L001,1,,12S-GC-025-d1_1_S25_L001
28,GC,GC-026,11/11/16,S26,26,Puerto Libertad,LIB,Norte,30.27772,112.86037,20.6,,d1,12S,L001,1,,12S-GC-026-d1_1_S26_L001
29,GC,GC-013,NA,S13,13,Mock comm. 25 fish,MOCK,NA,NA,NA,NA,NA,d1,12S,L001,1,,12S-GC-013-d1_1_S13_L001
30,GC,GC-060,NA,S60,60,Negative control pool,CTR-,NA,NA,NA,NA,NA,d1,12S,L001,1,,12S-GC-060-d1_1_S60_L001
